# Sensor Tramwajowa, Osiedle Biskupin-Sępolno-Dąbie-Bartoszowice, Poland (Citizen Science project luftdaten.info/68308)
# https://aqicn.org/station/@undefined/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2022-05-04T00:00:00.000Z,12,45,25,22,28,5.221,290
2022-05-05T00:00:00.000Z,20,45,29,26,32,4.483,288
2022-05-06T00:00:00.000Z,12,169,23,18,29,21.076,287
2022-05-07T00:00:00.000Z,14,46,27.5,20,33,7.627,290
2022-05-08T00:00:00.000Z,13,81,29,23,39,11.699,290
2022-05-09T00:00:00.000Z,6,107,17,14,21,14.409,307
2022-05-10T00:00:00.000Z,10,33,19,15,22,4.289,353
2022-05-11T00:00:00.000Z,12,40,26,23,28,4.629,299
2022-05-12T00:00:00.000Z,1,29,14,10,21,6.162,335
2022-05-13T00:00:00.000Z,4,34,14,11,18,6.285,337
2022-05-14T00:00:00.000Z,11,74,20,17,30,16.061,320
2022-05-15T00:00:00.000Z,2,41,12,9,17,7.13,315
2022-05-16T00:00:00.000Z,3,24,13,10,16,4.392,356
2022-05-17T00:00:00.000Z,3,210,15,13,17,17.672,327
2022-05-18T00:00:00.000Z,0,25,10,7,12,4.777,329
2022-05-19T00:00:00.000Z,2,22,14,9,17,4.816,337
2022-05-20T00:00:00.000Z,5,40,15,12,18,5.846,322
2022-05-21T00:00:00.000Z,1,25,12,9,17,5.49,307
2022-05-22T00:00:00.000Z,0,21,11,7,14,4.658,313
2022-05-23T00:00:00.000Z,3,18,11,9,14,3.439,338
2022-05-24T00:00:00.000Z,5,47,16,15,19,4.84,347
2022-05-25T00:00:00.000Z,4,88,16,12,20,7.959,332
2022-05-26T00:00:00.000Z,1,38,12,9,15,5.334,348
2022-05-27T00:00:00.000Z,2,21,11,9,14,4.013,354
2022-05-28T00:00:00.000Z,2,148,11,9.5,14,12.326,337
2022-05-29T00:00:00.000Z,1,27,12,7,15,4.727,367
2022-05-30T00:00:00.000Z,1,28,14,10,16,4.389,319
2022-05-31T00:00:00.000Z,3,25,16,12,18,4.785,303
2022-06-01T00:00:00.000Z,4,42,16,14,18,4.814,319
2022-06-02T00:00:00.000Z,3,17,7,5,10,3.945,232
2022-06-03T00:00:00.000Z,6,35,17,14,21,6.639,321
2022-06-04T00:00:00.000Z,13,57,23,20,42,13.159,371
2022-06-05T00:00:00.000Z,15,51,26,23,33,7.855,452
2022-06-06T00:00:00.000Z,8,35,20,15,27,7.113,359
2022-06-07T00:00:00.000Z,6,23,16,14,17,2.842,302
2022-06-08T00:00:00.000Z,6,149,16,12,21,27.676,324
2022-06-09T00:00:00.000Z,14,48,26,22,29,6.027,321
2022-06-10T00:00:00.000Z,4,42,13,10,16,6.427,348
2022-06-11T00:00:00.000Z,6,35,20,15,24,6.851,335
2022-06-12T00:00:00.000Z,8,32,20,19,24,4.812,370
2022-06-13T00:00:00.000Z,5,30,18,12,22,5.797,395
2022-06-14T00:00:00.000Z,1,18,5,3,9,3.727,483
2022-06-15T00:00:00.000Z,2,41,12,10,14,5.957,334
2022-06-16T00:00:00.000Z,9,126,18,16,22,14.767,350
2022-06-17T00:00:00.000Z,3,57,14,11,19.5,9.965,317
2022-06-18T00:00:00.000Z,5,30,14,12,16,4.111,355
2022-06-19T00:00:00.000Z,6,22,16,12,18,3.822,349
2022-06-20T00:00:00.000Z,1,35,20,17,24,7.605,396
2022-06-21T00:00:00.000Z,3,16,6,5,10,3.016,421
2022-06-22T00:00:00.000Z,3,84,13,8,17,12.389,465
2022-06-23T00:00:00.000Z,7,24,13,10,15,3.729,534
2022-06-24T00:00:00.000Z,13,31,21,20,23,3.263,289
2022-06-25T00:00:00.000Z,14,237,24.5,23,29,23.069,288
2022-06-26T00:00:00.000Z,21,58,34,28,36,5.696,288
2022-06-27T00:00:00.000Z,16,119,26,24,41,20.624,279
2022-06-28T00:00:00.000Z,11,59,23,19,28,7.305,288
2022-06-29T00:00:00.000Z,14,36,22,18,27,5.351,288
2022-06-30T00:00:00.000Z,10,39,20,15,25,6.423,290
2022-07-01T00:00:00.000Z,14,208,33,30,47,37.136,290
2022-07-02T00:00:00.000Z,8,104,14,11,26,20.264,289
2022-07-03T00:00:00.000Z,7,196,17,14,32,25.491,302
2022-07-04T00:00:00.000Z,16,96,38,24,60,18.826,281
2022-07-05T00:00:00.000Z,8,61,20,16,23,7.933,283
2022-07-06T00:00:00.000Z,9,43,15,13,19,4.671,288
2022-07-07T00:00:00.000Z,6,20,13,11,15,2.919,191
2022-07-08T00:00:00.000Z,4,26,15,12,17,3.606,289
2022-07-09T00:00:00.000Z,7,19,12,11,13.5,1.879,288
2022-07-10T00:00:00.000Z,2,31,12,10,16,4.283,292
2022-07-11T00:00:00.000Z,2,57,10,9,18,12.146,289
2022-07-12T00:00:00.000Z,4,23,9,8,11,2.604,287
2022-07-13T00:00:00.000Z,2,42,11,10,13,5.025,264
2022-07-14T00:00:00.000Z,10,67,19,15,24,13.918,293
2022-07-15T00:00:00.000Z,1,29,10,9,15,4.853,288
2022-07-16T00:00:00.000Z,2,21,11,9,14,3.094,292
2022-07-17T00:00:00.000Z,3,31,11,10,13,4.704,290
2022-07-18T00:00:00.000Z,3,98,16,11,23,17.428,288
2022-07-19T00:00:00.000Z,7,67,17,15,21,8.59,290
